timestamp,mid_price,bid_price,ask_price,inventory,realized_pnl,total_pnl
2025-12-19T13:28:39.576420,984.45,984.35,984.55,0,0.0,0.0
2025-12-19T13:28:40.627844,984.55,984.45,984.65,0,0.0,0.0
2025-12-19T13:28:41.676068,984.55,984.45,984.65,0,0.0,0.0
2025-12-19T13:28:42.722856,984.55,984.45,984.65,0,0.0,0.0
2025-12-19T13:28:43.783707,984.55,984.45,984.65,0,0.0,0.0
2025-12-19T13:28:44.840013,984.55,984.45,984.65,0,0.0,0.0
2025-12-19T13:28:45.890038,984.55,984.45,984.65,0,0.0,0.0
2025-12-19T13:28:46.942298,984.55,984.45,984.65,0,0.0,0.0
2025-12-19T13:28:47.991509,984.45,984.35,984.55,0,0.0,0.0
2025-12-19T13:28:49.043762,984.45,984.35,984.55,0,0.0,0.0
2025-12-19T13:28:50.093939,984.45,984.35,984.55,0,0.0,0.0
2025-12-19T13:28:51.142531,984.45,984.35,984.55,0,0.0,0.0
2025-12-19T13:28:52.192500,984.45,984.35,984.55,0,0.0,0.0
2025-12-19T13:28:53.239559,984.55,984.45,984.65,0,0.0,0.0
2025-12-19T13:28:54.289330,984.55,984.45,984.65,0,0.0,0.0
2025-12-19T13:28:55.340918,984.55,984.45,984.65,0,0.0,0.0
2025-12-19T13:28:56.393265,984.55,984.45,984.65,0,0.0,0.0
2025-12-19T13:28:57.442768,984.55,984.45,984.65,0,0.0,0.0
2025-12-19T13:28:58.491823,984.55,984.45,984.65,0,0.0,0.0
2025-12-19T13:28:59.541965,984.55,984.45,984.65,0,0.0,0.0
2025-12-19T13:29:00.596439,984.5,984.4,984.6,0,0.0,0.0
2025-12-19T13:29:01.651382,984.55,984.45,984.65,0,0.0,0.0
2025-12-19T13:29:02.699032,984.55,984.45,984.65,0,0.0,0.0
2025-12-19T13:29:03.751569,984.55,984.45,984.65,0,0.0,0.0
2025-12-19T13:29:04.801772,984.55,984.45,984.65,0,0.0,0.0
2025-12-19T13:29:05.861051,984.55,984.45,984.65,0,0.0,0.0
2025-12-19T13:29:06.934608,984.45,984.35,984.55,0,0.0,0.0
2025-12-19T13:29:07.984648,984.35,984.25,984.45,0,0.0,0.0
2025-12-19T13:29:09.048028,984.35,984.25,984.45,0,0.0,0.0
2025-12-19T13:29:10.125321,984.35,984.25,984.45,0,0.0,0.0
2025-12-19T13:29:11.174323,984.5,984.4,984.6,0,0.0,0.0
2025-12-19T13:29:12.227688,984.45,984.35,984.55,0,0.0,0.0
2025-12-19T13:29:13.277139,984.5,984.4,984.6,0,0.0,0.0
2025-12-19T13:29:14.333185,984.4,984.3,984.5,0,0.0,0.0
2025-12-19T13:29:15.384878,984.5,984.4,984.6,1,0.0,0.1
2025-12-19T13:29:16.436396,984.55,984.45,984.65,1,0.0,0.15
2025-12-19T13:29:17.486275,984.55,984.45,984.65,1,0.0,0.15
2025-12-19T13:29:18.536688,984.55,984.45,984.65,1,0.0,0.15
2025-12-19T13:29:19.601435,984.55,984.45,984.65,1,0.0,0.15
2025-12-19T13:29:20.651774,984.35,984.25,984.45,1,0.0,-0.05
2025-12-19T13:29:21.756966,984.35,984.25,984.45,1,0.0,-0.05
2025-12-19T13:29:22.807762,984.35,984.25,984.45,1,0.0,-0.05
2025-12-19T13:29:23.858853,984.35,984.25,984.45,1,0.0,-0.05
2025-12-19T13:29:24.910937,984.35,984.25,984.45,1,0.0,-0.05
2025-12-19T13:29:25.961161,984.35,984.25,984.45,1,0.0,-0.05
2025-12-19T13:29:27.011096,984.35,984.25,984.45,1,0.0,-0.05
2025-12-19T13:29:28.064445,984.35,984.25,984.45,1,0.0,-0.05
2025-12-19T13:29:29.119135,984.35,984.25,984.45,1,0.0,-0.05
2025-12-19T13:29:30.176132,984.35,984.25,984.45,1,0.0,-0.05
2025-12-19T13:29:31.225773,984.45,984.35,984.55,1,0.0,0.05
2025-12-19T13:29:32.287608,984.45,984.35,984.55,1,0.0,0.05
2025-12-19T13:29:33.337566,984.55,984.45,984.65,1,0.0,0.15
2025-12-19T13:29:34.392157,984.55,984.45,984.65,1,0.0,0.15
2025-12-19T13:29:35.445555,984.55,984.45,984.65,1,0.0,0.15
2025-12-19T13:29:36.494688,984.35,984.25,984.45,1,0.0,-0.05
2025-12-19T13:29:37.547767,984.35,984.25,984.45,1,0.0,-0.05
2025-12-19T13:29:38.598691,984.35,984.25,984.45,1,0.0,-0.05
2025-12-19T13:29:39.644823,984.35,984.25,984.45,1,0.0,-0.05
2025-12-19T13:29:40.697258,984.35,984.25,984.45,1,0.0,-0.05
2025-12-19T13:29:41.744799,984.35,984.25,984.45,1,0.0,-0.05
2025-12-19T13:29:42.795963,984.35,984.25,984.45,1,0.0,-0.05
2025-12-19T13:29:43.843839,984.35,984.25,984.45,1,0.0,-0.05
2025-12-19T13:29:44.897563,984.35,984.25,984.45,1,0.0,-0.05
2025-12-19T13:29:45.952380,984.55,984.45,984.65,1,0.0,0.15
2025-12-19T13:29:47.004723,984.55,984.45,984.65,1,0.0,0.15
2025-12-19T13:29:48.060019,984.45,984.35,984.55,1,0.0,0.05
2025-12-19T13:29:49.112782,984.45,984.35,984.55,1,0.0,0.05
2025-12-19T13:29:50.185955,984.45,984.35,984.55,1,0.0,0.05
2025-12-19T13:29:51.486500,984.45,984.35,984.55,1,0.0,0.05
2025-12-19T13:29:52.542077,984.85,984.75,984.95,1,0.0,0.45
2025-12-19T13:29:53.596630,984.85,984.75,984.95,1,0.0,0.45
2025-12-19T13:29:54.648758,984.85,984.75,984.95,1,0.0,0.45
