timestamp,mid_price,bid_price,ask_price,inventory,realized_pnl,total_pnl
2025-12-18T13:22:05.293893,982.55,982.45,982.65,0,0.0,0.0
2025-12-18T13:22:06.358498,982.55,982.45,982.65,0,0.0,0.0
2025-12-18T13:22:07.415986,982.45,982.35,982.55,0,0.0,0.0
2025-12-18T13:22:08.473998,982.45,982.35,982.55,0,0.0,0.0
2025-12-18T13:22:09.533664,982.45,982.35,982.55,0,0.0,0.0
2025-12-18T13:22:10.590832,982.45,982.35,982.55,0,0.0,0.0
2025-12-18T13:22:11.646877,982.45,982.35,982.55,0,0.0,0.0
2025-12-18T13:22:12.717026,982.45,982.35,982.55,0,0.0,0.0
2025-12-18T13:22:13.778360,982.45,982.35,982.55,0,0.0,0.0
2025-12-18T13:22:14.842579,982.45,982.35,982.55,0,0.0,0.0
2025-12-18T13:22:15.899820,982.45,982.35,982.55,0,0.0,0.0
2025-12-18T13:22:16.960065,982.55,982.45,982.65,0,0.0,0.0
2025-12-18T13:22:18.016243,982.55,982.45,982.65,0,0.0,0.0
2025-12-18T13:22:19.069040,982.55,982.45,982.65,0,0.0,0.0
2025-12-18T13:22:20.126378,982.55,982.45,982.65,0,0.0,0.0
2025-12-18T13:22:21.180192,982.55,982.45,982.65,0,0.0,0.0
2025-12-18T13:22:22.232630,982.55,982.45,982.65,0,0.0,0.0
2025-12-18T13:22:23.318937,982.65,982.55,982.75,0,0.0,0.0
2025-12-18T13:22:24.374816,982.6,982.5,982.7,1,0.0,0.1
2025-12-18T13:22:25.429758,982.65,982.53,982.75,1,0.0,0.15
2025-12-18T13:22:26.488813,982.65,982.53,982.75,1,0.0,0.15
2025-12-18T13:22:27.544752,982.65,982.53,982.75,1,0.0,0.15
2025-12-18T13:22:28.601027,982.75,982.63,982.85,1,0.0,0.25
2025-12-18T13:22:29.657067,982.65,982.53,982.75,1,0.0,0.15
2025-12-18T13:22:30.718555,982.7,982.58,982.8,1,0.0,0.2
2025-12-18T13:22:31.779226,982.85,982.73,982.95,1,0.0,0.35
2025-12-18T13:22:32.843900,982.85,982.73,982.95,1,0.0,0.35
2025-12-18T13:22:33.908862,982.85,982.73,982.95,1,0.0,0.35
2025-12-18T13:22:34.970730,982.85,982.73,982.95,1,0.0,0.35
2025-12-18T13:22:36.027203,982.65,982.53,982.75,1,0.0,0.15
2025-12-18T13:22:37.085781,982.85,982.73,982.95,1,0.0,0.35
2025-12-18T13:22:38.139441,982.85,982.73,982.95,1,0.0,0.35
2025-12-18T13:22:39.194712,982.85,982.73,982.95,1,0.0,0.35
2025-12-18T13:22:40.250568,982.6,982.48,982.7,1,0.0,0.1
2025-12-18T13:22:41.312172,982.55,982.43,982.65,1,0.0,0.05
2025-12-18T13:22:42.369230,982.55,982.43,982.65,1,0.0,0.05
2025-12-18T13:22:43.431705,982.65,982.53,982.75,1,0.0,0.15
2025-12-18T13:22:44.488836,982.65,982.53,982.75,1,0.0,0.15
2025-12-18T13:22:45.555821,982.55,982.43,982.65,1,0.0,0.05
2025-12-18T13:22:46.634276,982.55,982.43,982.65,1,0.0,0.05
2025-12-18T13:22:47.691212,982.45,982.33,982.55,1,0.0,-0.05
2025-12-18T13:22:48.750653,982.8,982.68,982.9,1,0.0,0.3
2025-12-18T13:22:49.809337,982.45,982.33,982.55,1,0.0,-0.05
2025-12-18T13:22:50.863576,982.45,982.33,982.55,1,0.0,-0.05
